od3	od3_7	What help us plan our day?	["Stars","Clocks","Clouds","Trees"]	Clocks	★☆☆☆☆	正確答案： B (Clocks)。原因： 課文明確提到「時鐘幫助我們計畫我們的一天 (clocks help us to plan our day)」1。\n錯誤選項原因： A(星星)、C(雲朵)、D(樹木) 雖然屬於自然現象，但課文未提及它們能幫助我們計畫日常 1。
od3	od3_7	Before clocks, what did people watch to tell time?	["The moon","The stars","The sun","The rain"]	The sun	★☆☆☆☆	正確答案： C (The sun)。原因： 課文指出，在有時鐘之前，人們透過觀察「太陽 (the sun)」在天空中的移動來辨別時間 1。\n錯誤選項原因： 課文沒有提到過去人們用 A(月亮)、B(星星) 或 D(雨) 來辨別日常時間 1。
od3	od3_7	When did people start work in the past?	["At noon","At night","When the sun came up","When the sun went down"]	When the sun came up	★★☆☆☆	正確答案： C (When the sun came up)。原因： 課文提到「當太陽從東方升起時，他們開始工作」1。\n錯誤選項原因： A(正午)是休息吃飯時間，B(晚上)與D(太陽下山)是睡覺時間，不是開始工作的時間 1。
od3	od3_7	What did people do at noon before clocks?	["They worked","They ate and rested","They slept","They traveled"]	They ate and rested	★★☆☆☆	正確答案： B (They ate and rested)。原因： 課文描述「在正午...他們吃飯並休息 (they ate and rested)」1。\n錯誤選項原因： 根據課文，正午時人們沒有 A(工作)、C(睡覺-這是晚上做的) 或 D(旅行) 1。
od3	od3_7	Does the sun move around the Earth?	["Yes","No","Sometimes","Only in winter"]	No	★★☆☆☆	正確答案： B (No)。原因： 課文明確否定了這個舊觀念：「今天，我們知道太陽並沒有繞著地球轉 (the sun doesn't move around the Earth)」2。\n錯誤選項原因： A(是)違背科學事實，C(有時候)與D(只有冬天)皆錯誤，太陽絕對不會繞著地球轉 2。
od3	od3_7	What is the imaginary line the Earth turns on called?	["Orbit","Axis","Equator","Planet"]	Axis	★★★☆☆	正確答案： B (Axis)。原因： 課文提到地球繞著一條假想線轉動，這條線稱為「軸 (axis)」2。\n錯誤選項原因： A(公轉軌道)是繞行太陽的路徑，C(赤道)未在課文中提及，D(行星)是地球本身 2。
od3	od3_7	What do we call the time it takes for Earth to make one complete turn?	["A minute","An hour","A day","A month"]	A day	★★☆☆☆	正確答案： C (A day)。原因： 地球完成一次完整自轉 (one complete turn) 所需的時間稱為「一天 (a day)」2。\n錯誤選項原因： A(一分鐘)與B(一小時)太短，D(一個月)太長，皆不是自轉一圈的時間 2。
od3	od3_7	How many hours are in one day?	["12","24","48","60"]	24	★☆☆☆☆	正確答案： B (24)。原因： 課文明確敘述「一天有24小時 (There are 24 hours in a day)」2。\n錯誤選項原因： A(12)是半天或一年的月份數，C(48)是兩天，D(60)是一小時的分鐘數，皆不符合題意 2。
od3	od3_7	How many minutes are in an hour?	["12","24","60","1440"]	60	★☆☆☆☆	正確答案： C (60)。原因： 課文寫道「一小時有60分鐘 (There are 60 minutes in an hour)」2。\n錯誤選項原因： A(12)是月份數，B(24)是一天的時數，D(1440)是一天的總分鐘數 2。
od3	od3_7	What math action do we use to find minutes in a day?	["Add","Subtract","Multiply","Divide"]	Multiply	★★★☆☆	正確答案： C (Multiply)。原因： 課文中指示要得到一天的分鐘數，須將24與60「相乘 (Multiply)」2。\n錯誤選項原因： A(加法)、B(減法)、D(除法) 皆無法算出正確的總分鐘數 2。
od3	od3_7	How many minutes are in one day?	["365","1440","60","24"]	1440	★★☆☆☆	正確答案： B (1440)。原因： 課文計算出 24 乘以 60 等於 1,440，因此一天有 1,440 分鐘 2。\n錯誤選項原因： A(365)是一年的天數，C(60)是一小時的分鐘數，D(24)是一天的時數 2。
od3	od3_7	What does the Earth travel around?	["The moon","The sun","Jupiter","Stars"]	The sun	★☆☆☆☆	正確答案： B (The sun)。原因： 課文提及「地球繞著太陽運行 (The Earth travels around... the sun)」3。\n錯誤選項原因： A(月球)是繞著地球轉，C(木星)與D(其他恆星)地球並不會繞著它們公轉 3。
od3	od3_7	What is it called when Earth goes around the sun once?	["A day","A week","A month","A year"]	A year	★★☆☆☆	正確答案： D (A year)。原因： 地球繞太陽一圈 (go around the sun once) 所需的時間稱為「一年 (a year)」3。\n錯誤選項原因： A(一天)是自轉，B(一週)與C(一個月)都不是地球公轉一圈的時間 3。
od3	od3_7	How many months are in a year?	["7","12","24","52"]	12	★☆☆☆☆	正確答案： B (12)。原因： 課文指出「一年等於12個月 (One year is equal to 12 months)」3。\n錯誤選項原因： A(7)是一週的天數，C(24)是一天的時數，D(52)是一年的週數 3。
od3	od3_7	About how many weeks are in a year?	["12","24","52","365"]	52	★★☆☆☆	正確答案： C (52)。原因： 課文提到一年剛好超過「52週 (52 weeks)」3。\n錯誤選項原因： A(12)是月數，B(24)是小時數，D(365)是天數 3。
od3	od3_7	Exactly how many days does it take to orbit the sun?	["365","365 and some extra hours","360","30"]	365 and some extra hours	★★★☆☆	正確答案： B (365 and some extra hours)。原因： 課文說精確的時間是「365天 5小時 49分又12秒」，表示除了365天外還有額外幾小時 3。\n錯誤選項原因： A(365)不夠精確，C(360)與D(30)完全不符合公轉的時間長度 3。
od3	od3_7	How many time zones is the Earth divided into?	["12","24","60","365"]	24	★★☆☆☆	正確答案： B (24)。原因： 課文說明我們將地球劃分為「24個時區 (24 time zones)」4。\n錯誤選項原因： 地球自轉一圈是24小時，因此切成24個時區。A(12)、C(60)、D(365) 都是無關的數字 4。
od3	od3_7	How much time is between each time zone?	["One minute","One hour","One day","One month"]	One hour	★★☆☆☆	正確答案： B (One hour)。原因： 課文寫道「每個時區與下一個時區相差一小時 (one hour apart)」4。\n錯誤選項原因： A(一分鐘)、C(一天)、D(一個月) 皆不符合時區劃分的標準單位 4。
od3	od3_7	If it is 10:00 a.m. here, what time is it on the opposite side of the world?	["10:00 a.m.","12:00 p.m.","10:00 p.m.","12:00 a.m."]	10:00 p.m.	★★★★☆	正確答案： C (10:00 p.m.)。原因： 課文舉例，當你這裡是早上 10:00，在地球的另一端（相差12小時）就是「晚上 10:00 (10:00 p.m.)」4。\n錯誤選項原因： A(上午10點)是同一側的時間，B(中午12點)與D(半夜12點)時間計算錯誤 4。
od3	od3_7	What really allows us to measure time?	["The sun","The movement of the Earth","Clocks","Calendars"]	The movement of the Earth	★★★★☆	正確答案： B (The movement of the Earth)。原因： 課文最後總結，雖然有時鐘，但「真正讓我們能夠測量時間的，是地球的運動 (the movement of the Earth)」4。\n錯誤選項原因： A(太陽)、C(時鐘)、D(日曆) 只是幫助我們觀察或記錄的工具，根本的依據還是地球的運動 4。
